name,booth_number,address,website,linkedin,description,product_categories,link,summary
Blink Charging,"LVCC, West Hall - 7275","5081 Howerton Way Bowie, MD 20715, United States",https://blinkcharging.com/,https://www.linkedin.com/company/blinkcharging/,"Blink is a global leader in electric vehicle charging equipment and services, enabling drivers, hosts, and fleets to easily transition to electric transportation through innovative charging solutions. With more than 100,000 charging ports contracted, sold, or deployed worldwide, we're paving the way for the growth and adaptation of EVs.","Energy/Power, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001gaLdLQAU,
Cube Tracker,"Venetian Expo, Halls A-D - 51719","46980 86th Ave Decatur, MI 49045, United States",https://cubetracker.com/,Not Available,"Cube GPS Tracker can be placed discretely in your vehicle so you can track where it goes, how long it spends there, and at what speed it travels. Cube gathers data via GPS, WiFi, Bluetooth, and cell tower triangulation then reports the data via the LTE-M data plan. Ideal for theft recovery, fleet, pet, family, or asset tracking.","Construction Tech, Lifestyle, Smart Home and Appliances, Travel and Tourism, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001VLP3ZQAX,
Eaton,"LVCC, North Hall - 10341","1000 Eaton Boulevard Cleveland, OH 44122, United States",https://www.eaton.com/,https://www.linkedin.com/company/eaton/,"Eaton is an intelligent power management company dedicated to improving the quality of life and environment for people everywhere. By capitalizing on the global growth trends of electrification and digitalization, we're accelerating the planet's transition to renewable energy, helping to solve the world's most urgent power challenges.","Energy/Power, Smart Cities, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TNB9tQAH,
Element,"LVCC, North Hall - 10015","7185 Oakland Mills Road Columbia, MD 21046, United States",https://www.element.com/,https://www.linkedin.com/showcase/element-connectivity-mobility/,"Element is the leading testing, inspection and certification partner to a diverse group of companies in sectors where failure in service is not an option. We serve the global connected technologies, automotive, medical device, aerospace, industrials, and energy sectors.","5G Technologies, Fitness, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JIK5CQAX,
Variowell Development GmbH,"Venetian Expo, Halls A-D - 53607","Fridtjof-Nansen-Weg 5a Muenster, 48155, Germany",https://variowell.com/,Not Available,"Variowell is a material-science company with deep insights into sleep. A multinational team with diverse professional and cultural backgrounds creates product solutions which are unique in the market. Variowell believes in emphasizing ‘SLEEP’ in Sleeptech. Products are intuitive to use, still effective to enhance sleep experience.","Digital Health, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001LXGp9AAH,
ZEISS Microoptics,"LVCC, North Hall - 10149","Carl Zeiss Jena GmbH Carl-Zeiss-Promenade 10 Jena, Jena 07745, Germany",https://www.zeiss.com/oem-solutions/products-solutions/multifunctional-smart-glass/automotive.html,https://www.linkedin.com/showcase/zeiss-microoptics/?viewAsMember=true,"ZEISS is the leading provider of advanced micro-optical and holographic optical solutions for a wide range of applications in the automotive, hometech, and consumer markets. ""Multifunctional Smart Glass"" technology enables, holographic projection systems, integrated cameras in transparent media and holographic lighting applications.","AR/VR/XR, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000042F4rCQAS,
"10minds Co., Ltd.","Venetian Expo, Halls A-D - 54139","5-25, Itaewon-dong, Yongsan-gu Seoul, 04346, South Korea",https://motionpillow.com/en/home.do,Not Available,"With over a decade of expertise in product distribution, advertising, and marketing, 10minds is poised to transform the landscape of snoring care aids. Our innovative Motion Pillow, alongside the CES 2025 award-winning AI Mopill, provides a unique solution for enhancing sleep health and addressing snoring issues.","Digital Health, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TOUHQQA5,
1NCE,"LVCC, North Hall - 10562","1001 Brickell Bay Drive STE 2910 Miami, FL 33131, United States",https://1nce.com/en-us/,https://www.linkedin.com/company/1nce/,"1NCE offers a software platform for connected products that delivers future-proof, hassle-free IoT in 173 countries. The software platform enables customers to easily, securely, and reliably collect device data and turn it into actionable intelligence. 20,000+ customers trust 1NCE with 22 million connected products worldwide.","IoT/Sensors, Smart Cities, Smart Home and Appliances, Supply and Logistics, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a1LD1QAM,
221e srl,"Venetian Expo, Hall G - 62201","Via Cesare Battisti 43 Albignasego (PD), - 35020, Italy",https://www.221e.com/,https://www.linkedin.com/company/221e/,"221e srl is a leading global supplier of intelligent precision sensing solutions for smart devices. Our AI-powered sensor fusion algorithms provide exceptional accuracy & consistent results alongside significant cost advantages. We've delivered innovative sensing solutions to power a wide variety of products, for wearables & the IoT.","Artificial Intelligence, Digital Health, Robotics, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001ZVWV3QAP,
"2nd-Curv.Co., Ltd","Venetian Expo, Hall G - 60458","Songshan Lake Robot Industry Base, Boheng 2nd Rd 15521229229 Dongguan, 523000, Japan",https://www.2nd-curv.com/,Not Available,"2ND-CURV Technology was founded in 2022. Focused on deep cleaning technologies, we pioneered the five-second speed-washing dishwasher. With top-tier technology and a user-first philosophy, we help countless users overcome the obstacles to enjoying their meals, and we remain mindful of our responsibility to protect the environment.","Fashion Tech, Lifestyle, Smart Home and Appliances, Sustainability, Travel and Tourism",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000e7jCfIAI,
